date,forecast,lower,upper
2026-05-09,2.0990604766627525,0.33411263494906435,3.8613900210205685
2026-05-16,2.105676315917294,0.47229598402738376,3.7540353089407574
2026-05-23,2.1147758519372455,0.39970780459997146,3.823664190816034
2026-05-30,2.0218119403656014,0.3517994867095674,3.7516160425738003
2026-06-06,1.8406399651180254,0.27313480828581393,3.501034090617104
2026-06-13,1.6853855218131815,0.052090499625465254,3.3789614897606004
2026-06-20,1.6278241590965719,0.0,3.3330725906566707
2026-06-27,1.6185596640052586,0.0,3.2459690633797766
2026-07-04,1.577269082135958,0.0,3.1325800632012237
2026-07-11,1.477272696521378,0.0,3.1136657584053435
2026-07-18,1.4196059732368398,0.0,3.103161177888946
2026-07-25,1.4377754794083026,0.0,3.144979864273292
