,forecast,lower,upper
2026-05-09,1.7319865740555604,1.1913560052760688,2.272617142835052
2026-05-16,1.7522557595996435,0.8023735674945949,2.7021379517046924
2026-05-23,1.7417742372705998,0.4667865814815977,3.016761893059602
2026-05-30,1.7816243410343766,0.2617255515760488,3.301523130492704
2026-06-06,1.60116256999504,0.0,3.2997254615246296
2026-06-13,1.4938364975379794,0.0,3.319961437047826
2026-06-20,1.436918398898687,0.0,3.352725987868479
2026-06-27,1.3676111425587203,0.0,3.3457519694062023
2026-07-04,1.3251095738961807,0.0,3.346204203526625
2026-07-11,1.3691881716065657,0.0,3.4196958644683138
2026-07-18,1.3326983226246485,0.0,3.403258649227762
2026-07-25,1.3574461553956887,0.0,3.4416410242882347
